Country Name,Country Code,Labour Force 2003,Labour Force 2004,Labour Force 2005,Labour Force 2006,Labour Force 2007,Labour Force 2008,Labour Force 2009,Labour Force 2010,Labour Force 2011,Labour Force 2012,Labour Force 2013,Labour Force 2014,Labour Force 2015,Labour Force 2016,Labour Force 2017,Labour Force 2018,Labour Force 2019,Labour Force 2020,Labour Force 2021,Labour Force 2022,Labour Force 2023,Population 2003,Population 2004,Population 2005,Population 2006,Population 2007,Population 2008,Population 2009,Population 2010,Population 2011,Population 2012,Population 2013,Population 2014,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Population 2020,Population 2021,Population 2022,Population 2023,Unemployment Rate 2003,Unemployment Rate 2004,Unemployment Rate 2005,Unemployment Rate 2006,Unemployment Rate 2007,Unemployment Rate 2008,Unemployment Rate 2009,Unemployment Rate 2010,Unemployment Rate 2011,Unemployment Rate 2012,Unemployment Rate 2013,Unemployment Rate 2014,Unemployment Rate 2015,Unemployment Rate 2016,Unemployment Rate 2017,Unemployment Rate 2018,Unemployment Rate 2019,Unemployment Rate 2020,Unemployment Rate 2021,Unemployment Rate 2022,Unemployment Rate 2023
Nicaragua,NIC,1999339,2054614,2112705,2174516,2238782,2305228,2373348,2442683,2512841,2583025,2652874,2722579,2784302,2845599,2907286,2954104,2999937,3024864,3085985,3189118,3264024,5323062,5386223,5454678,5529811,5607453,5687744,5770639,5855734,5942553,6030607,6119379,6208676,6298598,6389235,6480532,6572233,6663924,6755895,6850540,6948392,7046310,7.6,6.41,5.37,5.31,4.89,6.2,8.16,7.83,6.617,5.208,5.28,4.52,4.7,3.9,3.3,5.2,5.47,6.167,6.064,4.978,4.795
Niger,NER,5331429,5503112,5682643,5874407,6073979,6283131,6502984,6735970,6985581,7084004,7172557,7242882,7529178,7833807,8143193,8459492,8786279,9039998,9369232,9832619,10237246,12900790,13366885,13855221,14365168,14897873,15455175,16037915,16647543,17283112,17954407,18653199,19372014,20128124,20921743,21737922,22577058,23443393,24333639,25252722,26207977,27202843,2.146,2.748,3.1,2.532,2.027,1.59,1.212,0.721,0.317,2.177,1.4,0.524,0.558,0.555,0.564,0.546,0.544,0.62,0.819,0.552,0.55
Nigeria,NGA,45272336,46430372,47608583,48843470,50107991,51406232,52747992,54153463,55649284,56878596,58122761,59530047,60960864,62454314,64052256,65702232,67373496,68632664,70911721,73389347,75721345,133119801,136756848,140490722,144329764,148294028,152382506,156595758,160952853,165463745,170075932,174726123,179379016,183995785,188666931,193495907,198387623,203304492,208327405,213401323,218541212,223804632,3.594,3.556,3.69,3.718,3.767,3.771,3.751,3.739,3.77,3.76,3.711,3.903,4.137,4.498,4.826,5.065,5.206,5.712,5.393,3.827,3.074
North Macedonia,MKD,864605,859493,852946,849786,868032,875920,876986,853698,876465,872718,882258,883831,877663,873376,873278,865347,868918,847734,834513,815375,801197,2022725,2016186,2005330,1994287,1982933,1971493,1958782,1946298,1937398,1929821,1922716,1917557,1912430,1906313,1898657,1889051,1876262,1856124,1837114,1831712,1811980,36.69,37.161,37.32,36.392,35.231,33.93,32.351,33.135,31.502,31.096,29.017,28.215,26.395,24.312,22.857,21.208,17.414,16.575,15.801,14.477,13.075
Norway,NOR,2413366,2426708,2438585,2466712,2525906,2603060,2599655,2605230,2626987,2673469,2699916,2724239,2762042,2769692,2760886,2796121,2825244,2832047,2965991,2981183,3009339,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320,5457127,5519594,4.221,4.256,4.381,3.399,2.493,2.55,3.103,3.521,3.215,3.123,3.423,3.484,4.296,4.679,4.162,3.8,3.687,4.422,4.369,3.233,3.581
Oman,OMN,879567,909832,947682,988717,1032721,1079250,1127703,1271697,1518006,1778911,2003105,2140011,2259888,2403188,2487119,2491968,2440790,2239957,2198742,2261053,2315787,2431600,2468855,2515192,2560649,2605700,2651028,2697537,2881914,3206870,3535579,3816680,4009267,4191776,4398070,4541854,4601157,4602768,4543399,4520471,4576298,4644384,4.653,4.756,4.64,4.391,4.3,4.142,3.991,3.925,3.928,3.727,3.516,3.43,3.392,3.266,2.524,1.8,2.052,2.94,1.9,1.514,1.46
Pakistan,PAK,49107668,50663082,51747302,52830352,54353926,55924956,58053611,60255359,61545907,63271852,64802508,65271548,67587826,68081288,68740238,69627363,71922561,73715942,76944640,78863081,80989797,166876680,170648620,174372098,178069984,181924521,185931955,190123222,194454498,198602738,202205861,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117,235824862,240485658,0.595,0.588,0.582,0.582,0.398,0.423,0.535,0.653,0.796,3.667,2.954,1.827,3.566,2.286,3.193,4.083,4.83,6.162,6.338,5.548,5.499
Panama,PAN,1373404,1414864,1452458,1464039,1494155,1564790,1611067,1618269,1611450,1689370,1744928,1778532,1813736,1859078,1885561,1966334,2041466,1929211,1996749,2049663,2095776,3181608,3243311,3305868,3368573,3431614,3495276,3559343,3623617,3688674,3754862,3821556,3888793,3957099,4026336,4096063,4165255,4232532,4294396,4351267,4408581,4468087,6.393,6.171,6.041,5.849,5.743,5.704,5.849,5.873,4.049,3.717,3.707,4.415,4.37,4.758,5.395,5.218,6.332,14.183,10.453,8.202,6.701
Papua New Guinea,PNG,2422277,2422895,2416370,2402441,2381204,2353265,2318777,2277473,2356040,2427646,2501036,2557241,2626351,2697995,2774084,2858747,2931028,2981624,3042793,3167368,3228808,6090980,6293166,6498818,6708217,6921066,7137988,7358890,7583269,7806637,8026545,8245627,8464153,8682174,8899169,9114796,9329227,9542486,9749640,9949437,10142619,10329931,2.627,2.524,2.386,2.286,2.171,2.168,2.088,2.002,2.62,2.627,2.682,2.524,2.487,2.453,2.544,2.604,2.599,2.814,2.906,2.689,2.651
Paraguay,PRY,2267090,2446688,2461218,2396833,2509178,2575798,2638058,2619723,2683834,2878115,2881571,2860692,2916241,3061166,3127278,3257519,3336159,3285517,3422166,3404325,3468731,5353254,5416324,5476878,5534675,5590145,5645148,5702574,5768613,5843939,5923322,6005652,6090721,6177950,6266615,6355404,6443328,6530026,6618695,6703799,6780744,6861524,6.814,6.513,4.825,5.277,4.713,4.415,5.46,4.569,4.67,4.086,4.385,5.034,4.556,5.255,6.138,6.217,6.595,7.548,7.311,6.755,5.779
Peru,PER,13164270,13601183,14024859,14824999,15442460,15644447,15918391,16255080,16342847,16520323,16618192,16683502,16688971,16861950,17556265,18029865,18527166,16830784,17866091,18268448,18529435,27623341,27893911,28147267,28381078,28600387,28806185,29009326,29229572,29477721,29749589,30038809,30353951,30711863,31132779,31605486,32203944,32824861,33304756,33715471,34049588,34352719,4.15,4.71,4.87,4.17,4.08,4.03,3.96,3.6,3.477,3.238,3.575,3.208,3.272,3.741,3.691,3.492,3.379,7.179,5.097,3.85,4.82
Philippines,PHL,31926684,32900743,33734285,34451252,35217804,36018856,37171260,38081598,39490704,40075145,40789298,42179845,42622144,43756699,42974771,43800369,45091808,42419079,44606252,47871825,49477060,82942837,84607501,86261250,87901835,89561377,91252326,92946951,94636700,96337913,98032317,99700107,101325201,103031365,104875266,106738501,108568836,110380804,112190977,113880328,115559009,117337368,3.527,3.554,3.795,4.052,3.434,3.72,3.858,3.605,3.592,3.504,3.497,3.6,3.068,2.695,2.552,2.338,2.237,2.522,3.398,2.598,2.233
Poland,POL,17342507,17315015,17594853,17372553,17358009,17577553,17842910,18055100,18149148,18268758,18287361,18392967,18332404,18371736,18432689,18388899,18327422,18245536,18519217,18300937,18387400,38204570,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37899070,37747124,36821749,36685849,19.37,19.074,17.746,13.841,9.602,7.118,8.167,9.637,9.632,10.088,10.326,8.99,7.501,6.161,4.888,3.846,3.277,3.162,3.363,2.886,2.905
Portugal,PRT,5442325,5418926,5464806,5500215,5534266,5535756,5490080,5491635,5428758,5385170,5289169,5231791,5204013,5187357,5226891,5242420,5264058,5166305,5190888,5295941,5418819,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10361831,10409704,10525347,6.132,6.319,7.582,7.649,7.966,7.553,9.432,10.771,12.682,15.531,16.188,13.897,12.447,11.068,8.869,6.994,6.464,6.796,6.577,6.011,6.491
Puerto Rico,PRI,1376613,1383557,1420952,1410225,1378315,1339258,1292063,1254403,1206301,1196082,1187213,1173302,1158495,1147690,1126376,1102879,1119726,1146586,1142991,1159434,1154152,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3721525,3678732,3634488,3593077,3534874,3473232,3406672,3325286,3193354,3193694,3281557,3262693,3220113,3205691,11.78,10.31,11.35,11.01,10.93,11.48,15,16.1,15.7,14.5,14.3,13.9,12,11.8,10.8,9.2,8.3,8.89,7.9,6,5.962
Qatar,QAT,475608,492716,549720,695701,885428,1062879,1200173,1279336,1339473,1405646,1498732,1645653,1816808,1960463,2045789,2081887,2095831,2047230,1984481,2011040,2035269,748525,777943,848710,1015060,1231893,1444277,1610274,1713504,1804171,1905660,2035501,2214465,2414573,2595166,2711755,2766732,2807235,2760385,2688235,2695122,2716391,0.87,0.87,0.87,0.87,0.52,0.31,0.31,0.45,0.56,0.48,0.28,0.2,0.17,0.15,0.14,0.11,0.1,0.14,0.14,0.13,0.13
Romania,ROU,10032640,9978945,9663356,9809182,9637035,9432554,9338466,9351118,9173378,9217871,9175559,9205404,9108577,8915255,9055160,8999055,8972261,8908333,8200518,8295738,8282417,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19815616,19702267,19588715,19473970,19371648,19265250,19122059,19047009,19056116,6.95,7.719,7.174,7.27,6.413,5.788,6.859,6.959,7.177,6.794,7.096,6.802,6.812,5.901,4.927,4.187,3.912,5.035,5.59,5.614,5.595
Russian Federation,RUS,72836706,73604595,74017719,74391175,75368783,75918125,75954036,75870233,76104185,76005341,75771697,75645949,75405173,75532228,75021883,74975854,74132155,73659292,74031444,73798702,72407755,144648618,144067316,143518814,143049637,142805114,142742366,142785348,142849468,143018195,143378447,143805638,144237223,144640716,145015460,145293260,145398106,145453291,145245148,144746762,144236933,143826130,8.21,7.763,7.124,7.055,6.002,6.205,8.301,7.369,6.536,5.436,5.458,5.16,5.571,5.559,5.212,4.846,4.496,5.589,4.715,3.867,3.325
Rwanda,RWA,2973317,3065626,3156247,3246564,3338113,3432795,3531582,3634667,3742091,3843592,3940667,4042727,4152421,4270759,4399260,4529017,4519469,4997956,4782164,5100154,5283082,8567992,8791853,9026299,9270066,9523168,9781996,10043737,10309031,10576932,10840334,11101350,11368451,11642959,11930899,12230339,12531808,12835028,13146362,13461888,13776698,14094683,11.751,11.78,11.901,11.669,11.661,11.601,11.694,11.7,11.801,11.72,11.802,11.858,11.849,11.805,11.875,10.759,11.236,11.829,15.793,15.085,14.932
Samoa,WSM,60378,60611,60902,61481,61992,62711,63706,64460,65054,66037,66849,67605,68129,68515,69251,70143,70843,71346,72959,75463,76895,187440,188073,188626,189379,190478,191787,193176,194672,196351,198124,199939,201757,203571,205544,207630,209701,211905,214929,218764,222382,225681,5.04,5.165,5.214,5.323,5.426,5.538,5.646,5.62,5.68,8.752,8.772,8.72,8.9,9.062,9.4,9.512,9.601,10.214,10.368,9.923,9.747
Sao Tome and Principe,STP,48352,49688,51047,52298,53537,54770,56019,57294,58619,59818,60884,61970,63092,64262,65490,66758,68083,69308,71873,74171,76394,153762,157697,161680,165725,169845,174004,178128,182138,186044,189924,193757,197497,201124,204632,208036,211344,214599,218641,223107,227380,231856,16.36,16.12,16.47,16.65,16.098,15.573,15.4,14.66,14.196,13.59,13.711,13.619,13.598,13.65,13.811,13.878,13.998,15.183,15.042,14.115,14.208
Saudi Arabia,SAU,7948017,8227971,8558784,8989951,9448425,9918243,10384920,11036836,11614140,12176429,12635859,12977992,13441489,13967604,13926541,14523667,15485557,15995144,16336779,16617140,16933906,23150847,23661808,24397644,25382870,26400068,27437353,28483797,29411929,30150945,30821543,31482498,32125564,32749848,33416270,34193122,35018133,35827362,35997107,35950396,36408820,36947025,5.563,5.822,6.051,6.254,5.734,5.085,5.377,5.55,5.77,5.622,5.6,5.877,5.6,5.6,5.89,6.029,5.636,7.45,6.621,5.589,4.88
Senegal,SEN,2954501,3031625,3111556,3195593,3250174,3304930,3359706,3414678,3470634,3527583,3585375,3646878,3713527,4215630,3989175,4408782,4679043,4782834,4993873,5123718,5257332,10434504,10698691,10974057,11263387,11563869,11872929,12195029,12530121,12875880,13231833,13595566,13970308,14356181,14751356,15157793,15574909,16000781,16436120,16876720,17316449,17763163,2.774,2.77,2.685,2.755,2.796,2.813,2.807,2.798,2.853,3.887,4.989,5.842,6.757,4.455,4.078,3.567,2.863,3.405,3.368,2.968,2.93
Serbia,SRB,3433498,3404868,3381701,3361676,3362384,3311451,3190566,3103533,3091745,3108558,3157875,3171544,3135688,3229602,3256850,3275646,3272110,3218733,3396557,3372773,3333428,7480591,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7058322,7020858,6982604,6945235,6899126,6834326,6664449,6618026,15.2,18.5,20.85,20.85,18.06,13.67,16.116,19.204,22.959,24,22.154,19.223,17.66,15.257,13.477,12.733,10.395,9.011,10.061,8.684,8.683
Sierra Leone,SLE,1938951,2051698,2081503,2101604,2122149,2150083,2183363,2218455,2252288,2285506,2318440,2351170,2391699,2433870,2476830,2518499,2590128,2642106,2717703,2829083,2912540,5350907,5533329,5683334,5809774,5939163,6090860,6259842,6436698,6612385,6788587,6964859,7140688,7314773,7493913,7677565,7861281,8046828,8233970,8420641,8605718,8791092,3.879,3.42,3.724,3.9,4.018,4.14,4.282,4.427,4.554,4.56,4.538,4.678,4.621,4.312,3.848,3.193,3.204,3.485,3.516,3.194,3.174
Singapore,SGP,2194671,2234837,2330005,2454545,2556969,2765886,2884413,2990900,3073730,3185075,3244474,3339133,3437533,3480133,3474178,3471429,3527441,3511798,3418165,3540908,3619025,4114826,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676,5703569,5685807,5453566,5637022,5917648,5.93,5.84,5.59,4.48,3.9,3.96,5.86,4.12,3.89,3.72,3.86,3.74,3.79,4.08,4.2,3.613,3.1,4.1,4.64,3.591,3.472
Slovak Republic,SVK,2654467,2666688,2656460,2655911,2656117,2689387,2679233,2690040,2684551,2709630,2717943,2739490,2740515,2760482,2755144,2746932,2742063,2712322,2773127,2814741,2823082,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247,5431752,5426740,17.55,18.206,16.276,13.395,11.16,9.514,12.023,14.387,13.634,13.966,14.227,11.537,11.492,9.679,8.142,6.544,5.761,6.719,6.894,6.143,5.84
Slovenia,SVN,961118,1006459,1016078,1022037,1035912,1033690,1041583,1040408,1019339,1013066,1007387,1014398,1007275,994139,1025695,1035268,1028736,1030278,1045561,1055916,1055488,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2073894,2088385,2102419,2108079,2111986,2120937,6.481,6.017,6.515,5.957,4.828,4.379,5.869,7.248,8.182,8.852,10.116,9.692,8.975,8.007,6.573,5.116,4.448,4.974,4.747,4.013,3.627
Solomon Islands,SLB,226125,231621,237304,243133,249090,254981,261602,267773,274476,282266,289781,298221,306843,314911,323217,331935,341348,347558,357421,371572,382330,461216,471785,482486,493430,504619,516001,527833,540394,553721,567763,582365,597375,612660,628102,643634,659249,674993,691191,707851,724273,740424,2.256,2.015,1.879,1.915,1.975,1.996,2.02,1.622,1.297,0.987,0.694,0.728,0.735,0.735,0.727,0.723,0.746,0.852,0.866,1.579,1.545
Somalia,SOM,1772217,1832815,1887008,1934334,1987155,2046356,2100606,2155063,2192517,2232868,2304763,2383988,2463102,2555824,2657433,2755958,2858312,2935354,3038348,3163183,3276784,9758281,10117354,10467292,10784973,11118092,11444870,11730037,12026649,12216837,12440326,12852485,13309235,13763906,14292847,14864221,15411094,15981300,16537016,17065581,17597511,18143378,18.914,18.846,18.873,18.9,18.834,18.88,18.926,18.973,19.021,19.078,18.995,18.847,18.444,18.372,18.545,18.783,18.828,19.35,19.553,19.128,19.027
South Africa,ZAF,19692815,20050904,20382896,20703758,21021772,21338378,21088301,19990943,21055801,21285409,21678833,21981198,23120551,23430091,23776332,23771537,24142655,22920638,23621462,24366735,25158403,48104048,48556071,49017147,49491756,49996094,50565812,51170779,51784921,52443325,53145033,53873616,54729551,55876504,56422274,56641209,57339635,58087055,58801927,59392255,59893885,60414495,19.728,19.634,19.557,19.425,19.39,19.507,20.512,23.181,21.416,21.786,22.038,22.606,22.869,24.023,23.992,24.218,25.538,24.339,28.77,28.838,27.988
South Sudan,SSD,2637516,2773355,2935072,3114043,3307335,3507313,3700563,3937928,4197824,4403391,4569432,4553193,4474603,4347111,4064670,3899717,3949889,4036748,4172935,4319134,4471289,6992367,7317118,7662654,8029517,8417823,8823888,9229227,9714419,10243050,10701604,11106031,11213284,11194299,11066105,10658226,10395329,10447666,10606227,10748272,10913164,11088796,12.118,12.142,12.145,12.137,12.121,12.15,12.319,12.35,12.48,12.754,12.578,12.462,12.355,12.876,13.079,12.918,12.642,14.204,13.868,12.395,12.271
Spain,ESP,19731180,20419303,21197697,21880145,22508326,23150283,23364217,23482007,23558862,23569775,23332032,23091303,23036096,22977372,22897891,22930164,23139046,22838137,23384158,23687273,24107955,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46593236,46797754,47134837,47365655,47415794,47778340,48373336,11.283,11.09,9.146,8.452,8.232,11.255,17.857,19.86,21.391,24.788,26.094,24.442,22.058,19.635,17.224,15.255,14.104,15.532,14.781,12.917,12.144
Sri Lanka,LKA,7823098,7879885,7932787,7988902,8048679,8105462,8156187,8203628,8224720,8248982,8220580,8203072,8589975,8660411,8764804,8491355,8666096,8456529,8694780,8774915,8707414,19303180,19490431,19673866,19870706,20078655,20285643,20482477,20668557,20859743,21017147,21131756,21239457,21336697,21425494,21506813,21670000,21803000,21919000,22156000,22181000,22037000,8.22,8.38,7.67,6.5,5.97,5.22,5.85,4.784,4.118,3.88,4.186,4.157,4.519,4.243,4.046,4.318,4.67,5.365,5.258,6.33,6.36
St. Lucia,LCA,74606,76323,78028,79727,81421,83110,84795,86680,88652,92651,94186,95689,97178,98609,99931,101318,100592,96953,100490,103026,100833,163047,164239,165386,166470,167518,168576,169688,170935,172145,173124,173978,174804,175623,176413,177163,177888,178583,179237,179651,179857,180251,22.18,20.97,18.7,16,14,12.72,15.37,17.116,18.86,19.06,22.21,21.592,20.851,19.928,19.136,19.329,15.613,25.225,20.514,15.934,11.092
St. Vincent and the Grenadines,VCT,50741,51040,51276,51683,52002,52301,52466,52522,52595,52661,52680,52692,52739,52749,52771,52888,52886,51085,51715,52818,53060,113108,112608,112043,111427,110824,110316,109840,109308,108703,108083,107450,106912,106482,105963,105549,105281,104924,104632,104332,103948,103698,19.967,19.524,19.449,19.15,18.927,18.79,19.378,19.951,20.03,19.846,19.347,19.229,19.121,19.01,18.988,18.968,19.22,20.563,20.279,19.51,18.674
Sudan,SDN,7850897,8056338,8296846,8567552,8851985,9128641,9396319,9606346,9759019,9943798,10162684,10453350,10804007,11164590,11559488,11955874,12312326,12568040,13019705,13450139,13589630,28188977,28831550,29540577,30332968,31191163,32065241,32948155,33739933,34419624,35159792,35990704,37003245,38171178,39377169,40679828,41999059,43232093,44440486,45657202,46874204,48109006,14.766,14.788,14.791,14.783,14.769,14.8,13,15.156,17.44,17.068,16.414,15.558,14.512,13.812,13.206,12.605,12.014,12.368,11.466,7.53,11.449
Suriname,SUR,170381,175450,179549,183778,188112,192572,197210,202052,207067,212231,217561,223039,228664,234453,238158,242573,246470,235583,243125,246023,250230,503780,510572,516220,522023,527946,533938,539987,546080,552146,558111,563947,569682,575475,581453,587559,593715,600301,607065,612985,618040,623236,10.351,9.49,9.263,9.096,9.005,8.832,8.72,7.15,7.54,8.1,6.6,6.94,7.22,7.917,7.883,7.685,7.545,8.726,8.459,8.232,7.704
Sweden,SWE,4607164,4622281,4690191,4768932,4844850,4904595,4912421,4947828,5012570,5052398,5122087,5174559,5230067,5307317,5406464,5483210,5554111,5569519,5638697,5723799,5825253,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10486941,10536632,5.555,6.693,7.486,7.066,6.161,6.235,8.351,8.61,7.804,7.976,8.052,7.954,7.432,6.99,6.718,6.365,6.833,8.291,8.722,7.392,7.587
Switzerland,CHE,4152300,4156364,4176950,4239193,4307257,4410392,4477063,4447671,4532800,4590579,4648458,4733088,4805361,4887055,4920490,4956328,4971006,4979813,4981500,4968223,4991280,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8775760,8849852,4.117,4.316,4.437,3.995,3.641,3.35,4.109,4.808,4.409,4.491,4.747,4.826,4.801,4.918,4.797,4.713,4.394,4.817,5.097,4.3,4.05
Syrian Arab Republic,SYR,5128188,5219894,5311993,5534966,5802048,5959077,5949301,6062430,6271527,5590992,5000118,4548018,4305060,4290210,4372836,4572156,4914951,4992919,5281602,5816121,6314719,17611356,18084007,18583557,19432009,20703005,21474059,21827220,22337563,22730733,22605577,21495821,20072232,19205178,18964252,18983373,19333463,20098251,20772595,21324367,22125249,23227014,10.28,9.518,8.816,8.17,8.42,10.94,8.14,8.61,8.612,13.8,14.479,14.768,14.29,13.867,13.67,13.554,13.393,15.176,14.796,13.813,13.544
Tajikistan,TJK,1773808,1840669,1876538,1909372,1935627,1958820,1999281,2047575,2094999,2141635,2190056,2239463,2290338,2343422,2376361,2407127,2439477,2470914,2516376,2611584,2677489,6672492,6801204,6929145,7057417,7188391,7324627,7468596,7621779,7784819,7956382,8136610,8326348,8524063,8725318,8925525,9128132,9337003,9543207,9750064,9952787,10143543,13.751,13.364,12.995,12.627,12.254,11.869,11.5,10.844,10.187,9.519,8.86,8.206,7.554,6.9,6.9,6.898,6.898,7.176,7.253,6.981,6.981
Tanzania,TZA,18051900,18621845,19204746,19802584,20225225,20635599,21001337,21393289,21865045,22376520,22926545,23506979,24200892,24960918,25739955,26515547,27288953,27839215,28746124,30096296,31219073,37333918,38360879,39439505,40562052,41716497,42870884,43957933,45110527,46416031,47786137,49253643,50814552,52542823,54401802,56267032,58090443,59872579,61704518,63588334,65497748,67438106,3.051,3.104,3.192,3.299,3.024,2.775,2.5,3.029,3.47,3.223,2.93,2.125,2.162,2.237,2.313,2.409,2.518,2.781,2.806,2.609,2.607
Thailand,THA,36730283,37474638,38143753,38276335,39112784,39500136,39613757,39447288,40871917,41198445,40085032,40209226,40201742,39942542,39798925,40229448,39952396,40206906,40356693,40907648,40813511,64776956,65311166,65821360,66319525,66826754,67328239,67813654,68270489,68712846,69157023,69578602,69960943,70294397,70607037,70898202,71127802,71307763,71475664,71601103,71697030,71801279,1.54,1.51,1.35,1.22,1.18,1.18,1.49,0.622,0.66,0.58,0.249,0.576,0.597,0.688,0.83,0.766,0.716,1.099,1.215,0.94,0.913
Timor-Leste,TLS,362305,370497,380380,393652,403147,412412,422042,431707,442441,453650,466912,480394,493404,505198,520019,534219,542209,550988,562445,580820,596825,926721,945989,969313,994564,1019362,1043076,1065540,1088486,1112976,1137676,1161555,1184830,1205813,1224562,1243235,1261845,1280438,1299995,1320942,1341296,1360596,3.409,3.498,3.448,3.46,3.409,3.367,3.295,3.301,3.533,3.767,4.011,4.228,4.45,4.657,4.212,3.732,3.129,2.792,2.344,1.537,1.523
Togo,TGO,1823712,1875105,1927374,1988057,2052272,2115499,2177901,2236750,2296975,2357837,2419881,2483698,2549134,2616440,2685319,2755426,2826292,2877773,2975025,3074425,3165789,5421001,5565218,5711597,5874240,6047537,6222482,6398624,6571855,6748672,6926635,7106229,7288383,7473229,7661354,7852795,8046679,8243094,8442580,8644829,8848699,9053799,3.964,3.999,4.151,4.229,3.822,3.286,2.853,2.385,1.982,2.028,2.083,2.142,2.204,2.963,3.744,2.903,2.056,2.211,2.285,2.065,2.048
Tonga,TON,37096,37109,37109,37108,37162,37248,37294,37347,37363,37242,37036,36797,36573,36418,36317,36260,36419,36409,36740,37850,38483,104410,105036,105633,106190,106638,106932,107144,107383,107611,107502,107089,106626,106122,105707,105415,105150,104951,105254,106017,106858,107773,5.18,3.944,2.572,1.09,1.182,1.254,1.41,1.517,1.606,1.647,1.758,1.924,2.028,2.048,2.132,2.248,2.164,2.675,2.111,2.354,2.303
Trinidad and Tobago,TTO,639823,663384,679217,688837,690781,697130,694170,679616,674603,693119,694768,707968,696897,693991,690375,695724,695102,672932,668306,675249,681265,1353548,1361172,1369075,1376919,1384861,1392803,1401191,1410296,1420020,1430377,1440729,1450661,1460177,1469330,1478607,1504709,1519955,1518147,1525663,1531044,1534937,10.48,8.33,7.95,6.27,5.54,4.63,5.28,4.033,3.425,3.718,2.683,2.477,2.428,3.207,3.385,3.49,3.523,4.206,4.446,4.383,4.206
Tunisia,TUN,3428609,3468620,3502286,3572996,3648430,3729378,3810664,3892730,3974997,4077364,4084374,4103893,4121291,4162572,4178516,4204927,4240681,4087964,4136323,4359803,4445313,10193798,10292225,10388344,10483558,10580395,10680380,10784504,10895063,11032528,11174383,11300284,11428948,11557779,11685667,11811443,11933041,12049314,12161723,12262946,12356117,12458223,14.51,14.23,12.872,12.51,12.365,12.444,13.291,13.049,18.334,17.63,15.934,14.259,15.159,15.557,15.33,15.459,17.153,17.576,16.505,15.301,15.106
Turkiye,TUR,22701681,22213390,22722966,22701823,23018367,23770341,24694136,25794958,26981022,27535298,28576887,29245699,30216096,31174275,32167323,32874112,33249207,31361351,33070239,34630319,35071478,66867327,67785075,68704715,69601333,70158112,71051678,72039206,73142150,74223629,75175827,76147624,77181884,78218479,79277962,80312698,81407204,82579440,83384680,84147318,84979913,85326000,10.542,10.838,10.636,10.227,10.285,10.965,14.026,11.879,9.789,9.21,9.713,9.901,10.304,10.899,10.919,10.956,13.73,13.148,11.969,10.432,9.412
Turkmenistan,TKM,1654141,1689067,1709569,1733015,1756150,1773789,1805624,1831094,1847458,1868441,1889848,1910289,1934315,1957683,1979730,2001782,2024231,1997917,2013301,2117405,2163083,4758988,4819792,4885775,4954029,5024894,5100083,5180957,5267970,5360811,5458682,5560095,5663152,5766431,5868561,5968383,6065066,6158420,6250438,6341855,6430770,6516100,9.239,8.367,7.46,6.577,5.705,4.846,4,4,4.002,3.997,3.999,4.011,4.023,4.034,4.045,4.051,4.055,4.489,4.452,4.121,4.12
Uganda,UGA,9100783,9377842,9660213,9960400,10281641,10622845,10979617,11353046,11740672,12143029,12561282,13026478,13550001,14163205,14847009,15499088,16170475,16722952,17541680,18242785,18881435,26354736,27146084,27946588,28773227,29629804,30509862,31412520,32341728,33295738,34273295,35273570,36336539,37477356,38748299,40127085,41515395,42949080,44404611,45853778,47249585,48582334,3.6,2.706,1.9,2.27,2.675,3.049,3.6,3.619,3.528,3.551,1.91,2.404,2.788,3.167,3.643,3.42,3.185,3.914,3.422,2.93,2.831
